Date : 2025-03-31 23:28:06
Directory : d:\Kyle\Projects\bpit-das-v2\frontend
Total : 145 files,  11536 codes, 123 comments, 1180 blanks, all 12839 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\pages\account\pages\user-dashboard (Files)                                                                                                              |          1 |         18 |          0 |         12 |         30 |
| src\pages\account\pages\user-dashboard\components                                                                                                           |          7 |        562 |          5 |         93 |        660 |
| src\pages\account\pages\user-dashboard\components (Files)                                                                                                   |          1 |        189 |          0 |         28 |        217 |
| src\pages\account\pages\user-dashboard\components\Table                                                                                                     |          6 |        373 |          5 |         65 |        443 |
| src\pages\account\pages\user-dashboard\components\Table (Files)                                                                                             |          5 |        342 |          5 |         59 |        406 |
| src\pages\account\pages\user-dashboard\components\Table\css                                                                                                 |          1 |         31 |          0 |          6 |         37 |
| src\pages\configurations                                                                                                                                    |         40 |      3,046 |         50 |        467 |      3,563 |
| src\pages\configurations\components                                                                                                                         |          4 |        128 |          0 |         18 |        146 |
| src\pages\configurations\components\links-group                                                                                                             |          2 |         89 |          0 |         10 |         99 |
| src\pages\configurations\components\navbar                                                                                                                  |          2 |         39 |          0 |          8 |         47 |
| src\pages\configurations\pages                                                                                                                              |         36 |      2,918 |         50 |        449 |      3,417 |
| src\pages\configurations\pages\add-analyzer                                                                                                                 |          4 |        396 |          0 |         62 |        458 |
| src\pages\configurations\pages\add-analyzer (Files)                                                                                                         |          2 |         35 |          0 |          7 |         42 |
| src\pages\configurations\pages\add-analyzer\components                                                                                                      |          2 |        361 |          0 |         55 |        416 |
| src\pages\configurations\pages\add-analyzer\components\insert-serial                                                                                        |          1 |        230 |          0 |         32 |        262 |
| src\pages\configurations\pages\add-analyzer\components\insert-tcp                                                                                           |          1 |        131 |          0 |         23 |        154 |
| src\pages\configurations\pages\serial-analyzers                                                                                                             |         11 |        905 |         14 |        141 |      1,060 |
| src\pages\configurations\pages\serial-analyzers (Files)                                                                                                     |          1 |         21 |          0 |          4 |         25 |
| src\pages\configurations\pages\serial-analyzers\components                                                                                                  |         10 |        884 |         14 |        137 |      1,035 |
| src\pages\configurations\pages\serial-analyzers\components\add-parameter-card                                                                               |          1 |         77 |          0 |          9 |         86 |
| src\pages\configurations\pages\serial-analyzers\components\serial-analyzer-card                                                                             |          3 |        356 |          0 |         61 |        417 |
| src\pages\configurations\pages\serial-analyzers\components\serial-analyzer-card (Files)                                                                     |          2 |         56 |          0 |         19 |         75 |
| src\pages\configurations\pages\serial-analyzers\components\serial-analyzer-card\modal-form                                                                  |          1 |        300 |          0 |         42 |        342 |
| src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table                                                                           |          6 |        451 |         14 |         67 |        532 |
| src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table (Files)                                                                   |          1 |         16 |          0 |          7 |         23 |
| src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form                                                                |          5 |        435 |         14 |         60 |        509 |
| src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form (Files)                                                        |          4 |        404 |         14 |         54 |        472 |
| src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\css                                                            |          1 |         31 |          0 |          6 |         37 |
| src\pages\configurations\pages\stations                                                                                                                     |          4 |        276 |          1 |         35 |        312 |
| src\pages\configurations\pages\stations (Files)                                                                                                             |          1 |         17 |          0 |          2 |         19 |
| src\pages\configurations\pages\stations\components                                                                                                          |          3 |        259 |          1 |         33 |        293 |
| src\pages\configurations\pages\tcp-analyzers                                                                                                                |         10 |        777 |         13 |        123 |        913 |
| src\pages\configurations\pages\tcp-analyzers (Files)                                                                                                        |          1 |         21 |          0 |          3 |         24 |
| src\pages\configurations\pages\tcp-analyzers\components                                                                                                     |          9 |        756 |         13 |        120 |        889 |
| src\pages\configurations\pages\tcp-analyzers\components\add-parameter-card                                                                                  |          1 |         77 |          0 |          9 |         86 |
| src\pages\configurations\pages\tcp-analyzers\components\tcp-analyzer-card                                                                                   |          2 |        250 |          0 |         44 |        294 |
| src\pages\configurations\pages\tcp-analyzers\components\tcp-analyzer-card (Files)                                                                           |          1 |         31 |          0 |         15 |         46 |
| src\pages\configurations\pages\tcp-analyzers\components\tcp-analyzer-card\modal-form                                                                        |          1 |        219 |          0 |         29 |        248 |
| src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table                                                                                 |          6 |        429 |         13 |         67 |        509 |
| src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table (Files)                                                                         |          1 |         13 |          0 |          6 |         19 |
| src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form                                                                      |          5 |        416 |         13 |         61 |        490 |
| src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form (Files)                                                              |          4 |        385 |         13 |         55 |        453 |
| src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\css                                                                  |          1 |         31 |          0 |          6 |         37 |
| src\pages\configurations\pages\virtual-channels                                                                                                             |          7 |        564 |         22 |         88 |        674 |
| src\pages\configurations\pages\virtual-channels (Files)                                                                                                     |          1 |         23 |          0 |          6 |         29 |
| src\pages\configurations\pages\virtual-channels\components                                                                                                  |          6 |        541 |         22 |         82 |        645 |
| src\pages\configurations\pages\virtual-channels\components\add-virtual-channel-card                                                                         |          1 |         77 |          0 |          9 |         86 |
| src\pages\configurations\pages\virtual-channels\components\table-form                                                                                       |          5 |        464 |         22 |         73 |        559 |
| src\pages\configurations\pages\virtual-channels\components\table-form (Files)                                                                               |          4 |        433 |         22 |         67 |        522 |
| src\pages\configurations\pages\virtual-channels\components\table-form\css                                                                                   |          1 |         31 |          0 |          6 |         37 |
| src\pages\data-history                                                                                                                                      |         11 |        581 |         16 |        137 |        734 |
| src\pages\data-history (Files)                                                                                                                              |          1 |         18 |          0 |          6 |         24 |
| src\pages\data-history\components                                                                                                                           |         10 |        563 |         16 |        131 |        710 |
| src\pages\data-history\components\graph-view                                                                                                                |          2 |        128 |          4 |         29 |        161 |
| src\pages\data-history\components\sidebar-menu                                                                                                              |          6 |        249 |          9 |         68 |        326 |
| src\pages\data-history\components\sidebar-menu (Files)                                                                                                      |          2 |        115 |          0 |         27 |        142 |
| src\pages\data-history\components\sidebar-menu\components                                                                                                   |          4 |        134 |          9 |         41 |        184 |
| src\pages\data-history\components\table-view                                                                                                                |          2 |        186 |          3 |         34 |        223 |
| src\pages\data-history\components\table-view (Files)                                                                                                        |          1 |         87 |          0 |         20 |        107 |
| src\pages\data-history\components\table-view\table                                                                                                          |          1 |         99 |          3 |         14 |        116 |
| src\pages\data-monitoring                                                                                                                                   |          7 |        373 |         12 |         63 |        448 |
| src\pages\data-monitoring (Files)                                                                                                                           |          1 |         49 |          0 |         13 |         62 |
| src\pages\data-monitoring\components                                                                                                                        |          6 |        324 |         12 |         50 |        386 |
| src\pages\data-monitoring\components\sidebar                                                                                                                |          4 |        169 |          0 |         24 |        193 |
| src\pages\data-monitoring\components\sidebar\links-group                                                                                                    |          2 |         89 |          0 |         10 |         99 |
| src\pages\data-monitoring\components\sidebar\navbar                                                                                                         |          2 |         80 |          0 |         14 |         94 |
| src\pages\data-monitoring\components\table                                                                                                                  |          2 |        155 |         12 |         26 |        193 |
| src\pages\data-monitoring\components\table (Files)                                                                                                          |          1 |        124 |         12 |         20 |        156 |
| src\pages\data-monitoring\components\table\css                                                                                                              |          1 |         31 |          0 |          6 |         37 |
| src\pages\user-logs                                                                                                                                         |          5 |        194 |          4 |         39 |        237 |
| src\pages\user-logs (Files)                                                                                                                                 |          1 |         16 |          0 |          3 |         19 |
| src\pages\user-logs\components                                                                                                                              |          4 |        178 |          4 |         36 |        218 |
| src\pages\user-logs\components\table-view                                                                                                                   |          2 |        136 |          3 |         24 |        163 |
| src\pages\user-logs\components\table-view (Files)                                                                                                           |          1 |         31 |          0 |         12 |         43 |
| src\pages\user-logs\components\table-view\table                                                                                                             |          1 |        105 |          3 |         12 |        120 |
| src\pages\user-logs\components\toolbox                                                                                                                      |          2 |         42 |          1 |         12 |         55 |
| src\pages\user-logs\components\toolbox (Files)                                                                                                              |          1 |         16 |          0 |          4 |         20 |
| src\pages\user-logs\components\toolbox\components                                                                                                           |          1 |         26 |          1 |          8 |         35 |
| src\types                                                                                                                                                   |         11 |        117 |          0 |          4 |        121 |
| src\utils                                                                                                                                                   |          5 |        117 |          1 |         18 |        136 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                    | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Kyle\Projects\bpit-das-v2\frontend\.dockerignore                                                                                                         | Ignore             |          2 |          0 |          0 |          2 |
| d:\Kyle\Projects\bpit-das-v2\frontend\.env                                                                                                                  | Properties         |          2 |          0 |          0 |          2 |
| d:\Kyle\Projects\bpit-das-v2\frontend\Dockerfile                                                                                                            | Docker             |         12 |          8 |          8 |         28 |
| d:\Kyle\Projects\bpit-das-v2\frontend\README.md                                                                                                             | Markdown           |         40 |          0 |         11 |         51 |
| d:\Kyle\Projects\bpit-das-v2\frontend\eslint.config.js                                                                                                      | JavaScript         |         27 |          0 |          2 |         29 |
| d:\Kyle\Projects\bpit-das-v2\frontend\index.html                                                                                                            | HTML               |         13 |          0 |          1 |         14 |
| d:\Kyle\Projects\bpit-das-v2\frontend\package-lock.json                                                                                                     | JSON               |      4,348 |          0 |          1 |      4,349 |
| d:\Kyle\Projects\bpit-das-v2\frontend\package.json                                                                                                          | JSON               |         48 |          0 |          1 |         49 |
| d:\Kyle\Projects\bpit-das-v2\frontend\postcss.config.cjs                                                                                                    | JavaScript         |          7 |          0 |          0 |          7 |
| d:\Kyle\Projects\bpit-das-v2\frontend\public\vite.svg                                                                                                       | XML                |          1 |          0 |          0 |          1 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\analyzerDataApi.ts                                                                                            | TypeScript         |         24 |          0 |          3 |         27 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\apiUrl.ts                                                                                                     | TypeScript         |          1 |          1 |          1 |          3 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\currentValuesApi.ts                                                                                           | TypeScript         |         24 |          0 |          5 |         29 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\serialAnalyzersApi.ts                                                                                         | TypeScript         |         62 |          0 |         13 |         75 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\serialParametersApi.ts                                                                                        | TypeScript         |         54 |          0 |          9 |         63 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\stationsApi.ts                                                                                                | TypeScript         |         26 |          0 |          5 |         31 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\tcpAnalyzersApi.ts                                                                                            | TypeScript         |         54 |          0 |         11 |         65 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\tcpParametersApi.ts                                                                                           | TypeScript         |         46 |          0 |         11 |         57 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\timebasesApi.ts                                                                                               | TypeScript         |         53 |          0 |          8 |         61 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\userLogsApi.ts                                                                                                | TypeScript         |         33 |          0 |          6 |         39 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\usersApi.ts                                                                                                   | TypeScript         |         95 |          0 |         19 |        114 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\api\virtualChannelsApi.ts                                                                                         | TypeScript         |         42 |          0 |         10 |         52 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\app\app.tsx                                                                                                       | TypeScript JSX     |         29 |          0 |          4 |         33 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\app\layout\ConfigurationsLayout.tsx                                                                               | TypeScript JSX     |         72 |          0 |         12 |         84 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\app\layout\DefaultLayout.tsx                                                                                      | TypeScript JSX     |         35 |          0 |          6 |         41 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\app\layout\GuestLayout.tsx                                                                                        | TypeScript JSX     |         18 |          0 |          3 |         21 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\app\router.tsx                                                                                                    | TypeScript JSX     |         85 |          2 |          5 |         92 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\app\theme.tsx                                                                                                     | TypeScript JSX     |         34 |          0 |          8 |         42 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\components\footer\Footer.tsx                                                                                      | TypeScript JSX     |         10 |          0 |          2 |         12 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\components\header\HeaderMenu.module.css                                                                           | CSS                |         34 |          0 |          4 |         38 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\components\header\HeaderMenu.tsx                                                                                  | TypeScript JSX     |        114 |          2 |         22 |        138 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\components\login\Login.tsx                                                                                        | TypeScript JSX     |         33 |          0 |          5 |         38 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\components\login\components\dropdown-menu\DropdownMenu.module.css                                                 | CSS                |         17 |          0 |          3 |         20 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\components\login\components\dropdown-menu\DropdownMenu.tsx                                                        | TypeScript JSX     |         60 |          0 |         11 |         71 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\components\login\components\login-form\LoginForm.tsx                                                              | TypeScript JSX     |         64 |          1 |         10 |         75 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\components\navbar\NavbarMinimal.module.css                                                                        | CSS                |         30 |          0 |          4 |         34 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\components\navbar\NavbarMinimal.tsx                                                                               | TypeScript JSX     |         61 |          0 |         10 |         71 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\contexts\UserContext.tsx                                                                                          | TypeScript JSX     |         41 |          8 |          9 |         58 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\_queryKeys.ts                                                                                               | TypeScript         |         23 |          0 |          3 |         26 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\analyzerDataHook.ts                                                                                         | TypeScript         |         18 |          0 |          3 |         21 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\currentValuesHook.ts                                                                                        | TypeScript         |         19 |          0 |          3 |         22 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\serialAnalyzersHook.ts                                                                                      | TypeScript         |         64 |          0 |          8 |         72 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\serialParametersHook.ts                                                                                     | TypeScript         |         50 |          0 |          7 |         57 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\stationsHook.ts                                                                                             | TypeScript         |         22 |          0 |          2 |         24 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\tcpAnalyzersHook.ts                                                                                         | TypeScript         |         53 |          0 |          5 |         58 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\tcpParametersHook.ts                                                                                        | TypeScript         |         50 |          0 |          7 |         57 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\timebasesHook.ts                                                                                            | TypeScript         |         42 |          0 |          5 |         47 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\userLogsHook.ts                                                                                             | TypeScript         |         18 |          0 |          2 |         20 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\usersHook.ts                                                                                                | TypeScript         |         92 |          2 |         12 |        106 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\virtualChannelsHook.ts                                                                                      | TypeScript         |         43 |          0 |          4 |         47 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\Forms.module.css                                                                              | CSS                |         13 |          0 |          4 |         17 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\account-settings\AccountSettings.module.css                                                   | CSS                |         12 |          0 |          4 |         16 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\account-settings\AccountSettingsPage.tsx                                                      | TypeScript JSX     |        188 |          6 |         25 |        219 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\UserDashboardPage.tsx                                                          | TypeScript JSX     |         18 |          0 |         12 |         30 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\RegisterUserForm.tsx                                                | TypeScript JSX     |        189 |          0 |         28 |        217 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\DeleteUserForm.tsx                                            | TypeScript JSX     |         94 |          0 |         12 |        106 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\EditUserForm.tsx                                              | TypeScript JSX     |        165 |          0 |         22 |        187 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\TableColumn.tsx                                               | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\TableRows.tsx                                                 | TypeScript JSX     |         50 |          5 |         15 |         70 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\UsersTable.tsx                                                | TypeScript JSX     |         22 |          0 |          8 |         30 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\css\TableForm.module.css                                      | CSS                |         31 |          0 |          6 |         37 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\components\links-group\NavbarLinksGroup.module.css                                           | CSS                |         30 |          0 |          4 |         34 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\components\links-group\NavbarLinksGroup.tsx                                                  | TypeScript JSX     |         59 |          0 |          6 |         65 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\components\navbar\NavbarNested.module.css                                                    | CSS                |         16 |          0 |          3 |         19 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\components\navbar\NavbarNested.tsx                                                           | TypeScript JSX     |         23 |          0 |          5 |         28 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\add-analyzer\InsertForm.module.css                                                     | CSS                |         16 |          0 |          2 |         18 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\add-analyzer\components\insert-serial\index.tsx                                        | TypeScript JSX     |        230 |          0 |         32 |        262 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\add-analyzer\components\insert-tcp\index.tsx                                           | TypeScript JSX     |        131 |          0 |         23 |        154 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\add-analyzer\index.tsx                                                                 | TypeScript JSX     |         19 |          0 |          5 |         24 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\add-parameter-card\index.tsx                               | TypeScript JSX     |         77 |          0 |          9 |         86 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-analyzer-card\InsertForm.module.css                 | CSS                |         16 |          0 |          2 |         18 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-analyzer-card\index.tsx                             | TypeScript JSX     |         40 |          0 |         17 |         57 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-analyzer-card\modal-form\ModalForm.tsx              | TypeScript JSX     |        300 |          0 |         42 |        342 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\index.tsx                           | TypeScript JSX     |         16 |          0 |          7 |         23 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\TableColumn.tsx          | TypeScript JSX     |         19 |          0 |          2 |         21 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\TableForm.tsx            | TypeScript JSX     |         88 |          0 |         14 |        102 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\TableRows.tsx            | TypeScript JSX     |        252 |         13 |         28 |        293 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\css\TableForm.module.css | CSS                |         31 |          0 |          6 |         37 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\modifyFormValues.ts      | TypeScript         |         45 |          1 |         10 |         56 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\index.tsx                                                             | TypeScript JSX     |         21 |          0 |          4 |         25 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\stations\Stations.tsx                                                                  | TypeScript JSX     |         17 |          0 |          2 |         19 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\stations\components\StationForm.tsx                                                    | TypeScript JSX     |         92 |          0 |         14 |        106 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\stations\components\TimebaseForm.tsx                                                   | TypeScript JSX     |        144 |          0 |         14 |        158 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\stations\components\modifyTimebaseFormValues.ts                                        | TypeScript         |         23 |          1 |          5 |         29 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\TcpAnalyzers.tsx                                                         | TypeScript JSX     |         21 |          0 |          3 |         24 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\add-parameter-card\index.tsx                                  | TypeScript JSX     |         77 |          0 |          9 |         86 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-analyzer-card\TcpAnalyzerCard.tsx                         | TypeScript JSX     |         31 |          0 |         15 |         46 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-analyzer-card\modal-form\ModalForm.tsx                    | TypeScript JSX     |        219 |          0 |         29 |        248 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\TcpParametersTable.tsx                    | TypeScript JSX     |         13 |          0 |          6 |         19 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\TableColumn.tsx                | TypeScript JSX     |         16 |          0 |          2 |         18 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\TableForm.tsx                  | TypeScript JSX     |         88 |          0 |         15 |        103 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\TableRows.tsx                  | TypeScript JSX     |        238 |         12 |         29 |        279 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\css\TableForm.module.css       | CSS                |         31 |          0 |          6 |         37 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\modifyFormValues.ts            | TypeScript         |         43 |          1 |          9 |         53 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\VirtualChannel.tsx                                                    | TypeScript JSX     |         23 |          0 |          6 |         29 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\components\add-virtual-channel-card\AddVirtualChannelCard.tsx         | TypeScript JSX     |         77 |          0 |          9 |         86 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\components\table-form\TableColumn.tsx                                 | TypeScript JSX     |         17 |          0 |          2 |         19 |
| d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\components\table-form\TableForm.tsx                                   | TypeScript JSX     |         90 |          0 |         17 |        107 |
